"transition_id","flow_id","journey_id","stage_id","screen_id","route","actor","state","trigger","visible_structure","primary_action","secondary_action","system_response","preserved_input","error_or_status","recovery","analytics_event","accessibility_requirement","source_of_truth","qa_status","data_captured","privacy_boundary","owner","next_screen_id"
"TR-HOME-001","FLOW-LEARN","JRN-03","STG-LEARN-01","HOME-01","/home","learner","loading","open protected home","shell and learning-card skeleton","Wait","Sign out","resolve me tenant enrollment and progress","none","loading_context","retry or session recovery","home_viewed","landmark and status announcement","V0_1_ROUTE_SCREEN_CONTRACTS; SHELL refs","spec_ready","none","protected self/tenant","learner projection","HOME-01"
"TR-HOME-002","FLOW-LEARN","JRN-03","STG-LEARN-01","HOME-01","/home","learner","empty","canonical response has no active enrollment","first-use course entry; no fabricated absence","View published course","Open settings","show exact no-enrollment state","none","no_active_enrollment","explicit course/enrollment path","home_empty","empty heading and action","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","self-scoped","learner projection","COURSE-01"
"TR-HOME-003","FLOW-LEARN","JRN-03","STG-LEARN-01","HOME-01","/home","enrolled learner","ready","canonical projections resolve","continue card; 0..5 Module 1 progress; next action","Continue learning","View progress","deep-link to pinned course/activity","none","ready","navigate or refresh","home_ready","headings; progress has text equivalent","SHELL-01; HOME-01; route contract","spec_ready","none","protected self/tenant","learner projection","COURSE-02"
"TR-HOME-004","FLOW-LEARN","JRN-03","STG-LEARN-01","HOME-01","/home","learner","retryable_error","context or enrollment projection fails","named unavailable panel; no zero values","Retry","Open public course","retain shell and safe links","none","projection_unavailable","bounded retry","home_load_failed","alert and focusable retry","AC-UXA-01; route contract","spec_ready","none","no internal error detail","learner projection","HOME-01"
"TR-HOME-005","FLOW-LEARN","JRN-05","STG-LEARN-01","HOME-01","/home","learner","offline_or_stale","offline with safe cached projection","stale banner; last-updated label","Reconnect","Open offline help","render only approved cached read-only data","none","offline_stale","reconnect; no mutation","offline_state_entered","stale text not color only","Mobile/PWA; AC-UXA-01","spec_ready","none","protected cache policy required","PWA shell","SYS-03"
"TR-COURSE-001","FLOW-LEARN","JRN-01","STG-ENR-01","COURSE-01","/programs/{slug}","public/learner","ready","published program resolves","title; version; four-module topology; Module 1 activity topology","Start free course","Sign in","await the explicit start action; do not infer enrollment from page view login consent or analytics","safe return path","published","sign in or explicitly start","program_opened","semantic outline and button","ADR 0028; ENVIRONMENT_CONTRACT; current learner-web routes","runtime_pending","none","public projection","catalog","COURSE-01"
"TR-COURSE-002","FLOW-LEARN","JRN-01","STG-ENR-01","COURSE-01","/programs/{slug}","active verified learner with active public-tenant learner membership","processing","explicit Start free course action","enrolling status; duplicate activation blocked","Wait","none","in one caller-owned transaction validate exact published global slug exact recorded current consent and distinct active learner membership; create or reuse AC-FREE-SELF-ATTESTATION-v1; enroll idempotently","none","enrolling","return canonical result or safe denial","free_enrollment_requested","status announced","ADR 0028; ENVIRONMENT_CONTRACT; self_attestation.py; current learner-web start action","runtime_pending","program version intent; policy evidence references","protected self/tenant; no email password provider token or analytics authority in evidence","enrollment/eligibility","COURSE-02"
"TR-COURSE-003","FLOW-LEARN","JRN-01","STG-ENR-01","COURSE-01","/programs/{slug}","learner","locked","self-attestation precondition denied","safe denial and approved recovery/retry path","Review account requirements","Return home","fail closed for missing or stale consent wrong course wrong tenant non-learner inactive unverified negative expired or conflicting fact; never overwrite history","none","self_attested_eligibility_denied","approved identity consent or membership recovery then retry explicit start","free_enrollment_blocked","locked reason announced without protected detail","ADR 0028; ENVIRONMENT_CONTRACT; self_attestation.py","runtime_pending","none","no sensitive policy or cross-tenant detail","enrollment/tenancy","COURSE-01"
"TR-COURSE-004","FLOW-LEARN","JRN-03","STG-LEARN-01","COURSE-02","/learn/{programSlug}","enrolled learner","ready","authorized pinned projection resolves","program progress; modules; current activity","Continue current activity","Back home","show authoritative status and next route","none","ready","navigate or retry","program_opened","progress text equivalent; headings","V0_1_ROUTE_SCREEN_CONTRACTS; COURSE refs","spec_ready","none","protected self/tenant","learning projection","MOD-01"
"TR-COURSE-005","FLOW-LEARN","JRN-03","STG-LEARN-01","COURSE-02","/learn/{programSlug}","learner","locked","no active enrollment or wrong version","safe access explanation without content payload","View published course","Back home","deny protected projection","none","access_locked","approved enrollment/support path","program_access_denied","lock reason and actions","G1_ROUTE_AUTHORIZATION","spec_ready","none","no resource existence across tenant","authorization","COURSE-01"
"TR-MOD-001","FLOW-LEARN","JRN-03","STG-LEARN-01","MOD-01","/learn/{programSlug}/module/{moduleId}","enrolled learner","ready","module eligible","ordered ACT-01..05 list; current/complete states","Open next activity","Back to course","show canonical prerequisite projection","none","ready","open activity","module_opened","ordered list semantics; status text","AC-IMP-04; V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","protected self/tenant","learning projection","ACT-01"
"TR-MOD-002","FLOW-LEARN","JRN-03","STG-LEARN-01","MOD-01","/learn/{programSlug}/module/{moduleId}","enrolled learner","locked","module prerequisite unmet","module title and safe lock reason","Go to prerequisite","Back to course","deny activity payload; identify permitted prerequisite","none","module_locked","complete exact prerequisite","module_locked_viewed","lock icon plus text; focus action","AC-IMP-04; G1_ROUTE_AUTHORIZATION","spec_ready","none","no protected payload","learning projection","COURSE-02"
"TR-ACT-001","FLOW-LEARN","JRN-03","STG-LEARN-02","ACT-01","/activity/{activityId}","enrolled learner","ready","video activity authorized","player shell; captions/transcript status; coverage","Play","Back to module","start/resume media without completion claim","canonical watched evidence","not_started_or_in_progress","retry player or return","activity_started","keyboard player controls; captions status","AC-IMP-04; PLAYER-01","gap_blocked","watch-session evidence","protected self/tenant","media/progress","ACT-01"
"TR-ACT-002","FLOW-LEARN","JRN-03","STG-LEARN-02","ACT-01","/activity/{activityId}","enrolled learner","processing","coverage evidence submitted/evaluating","coverage and evidence-pending status","Continue watching","Refresh status","server merges unique intervals and evaluates policy","server evidence","evidence_processing","poll/reload boundedly","video_progress_evidence","status announced without claiming mastery","AC-IMP-04","gap_blocked","watched intervals and policy version","protected self/tenant","media/progress","ACT-01"
"TR-ACT-003","FLOW-LEARN","JRN-03","STG-LEARN-02","ACT-01","/activity/{activityId}","enrolled learner","retryable_error","media/provider unavailable","player error; saved coverage statement","Retry media","Back to module","preserve canonical coverage; no completion","server evidence","provider_unavailable","bounded retry/support","provider_failure_category","error and alternate action reachable","AC-IMP-04; AC-UXA-01","gap_blocked","none","no provider detail","media","ACT-01"
"TR-ACT-004","FLOW-LEARN","JRN-03","STG-LEARN-02","ACT-01","/activity/{activityId}","enrolled learner","success","server completion predicate true","completed participation status; next activity","Continue to reflection","Review video","record canonical completion once","coverage evidence","completed","open ACT-02","activity_completed","success text/icon; no auto navigation","AC-IMP-04","gap_blocked","completion fact","protected self/tenant","progress","ACT-02"
"TR-ACT-005","FLOW-LEARN","JRN-03","STG-LEARN-03","ACT-02","/activity/{activityId}","enrolled learner","ready","reflection authorized/restored","prompt; textarea; restored revision; save status","Save reflection","Back to module","load self draft and policy","server draft","restored_or_dirty","save or return with warning","activity_opened","label; character/status association","AC-IMP-04; ACT-02","spec_ready","reflection draft","private self-scoped text","draft service","ACT-02"
"TR-ACT-006","FLOW-LEARN","JRN-03","STG-LEARN-03","ACT-02","/activity/{activityId}","enrolled learner","processing","save reflection","saving status; duplicate save controlled","Wait","Cancel only if safe","write with revision precondition","browser draft","saving","success conflict or retry","activity_draft_save_started","polite live status","AC-IMP-04; route contract","spec_ready","reflection draft and revision","private self-scoped text","draft service","ACT-02"
"TR-ACT-007","FLOW-LEARN","JRN-03","STG-LEARN-03","ACT-02","/activity/{activityId}","enrolled learner","success","save returns canonical draft","saved timestamp/revision","Continue when eligible","Keep editing","render canonical saved state","server draft","saved","edit or continue","activity_draft_saved","persistent non-color save status","AC-IMP-04; ACT-02","spec_ready","saved reflection","private self-scoped text","draft service","ACT-03"
"TR-ACT-008","FLOW-LEARN","JRN-03","STG-LEARN-03","ACT-02","/activity/{activityId}","enrolled learner","retryable_error","save fails","save-failed alert and preserved draft statement","Retry save","Copy text","no canonical saved/completed claim","browser draft","save_failed","reconnect/retry or copy","activity_draft_save_failed","alert linked to textarea/actions","AC-IMP-04; AC-UXA-01","spec_ready","none","browser draft remains private","draft service","ACT-02"
"TR-ACT-009","FLOW-LEARN","JRN-05","STG-LEARN-03","ACT-02","/activity/{activityId}","enrolled learner","offline_or_stale","network unavailable with dirty text","offline-unsaved banner","Reconnect and save","Copy text","block unsupported canonical write; no queue claim","browser draft only","offline_unsaved","reconnect then revisioned save","offline_state_entered","status announced; copy keyboard accessible","AC-UXA-01; Mobile/PWA","spec_ready","none","browser-only private text","PWA/draft service","ACT-02"
"TR-ACT-010","FLOW-LEARN","JRN-03","STG-LEARN-04","ACT-03","/activity/{activityId}","enrolled learner","ready","implementation activity eligible","instructions; acknowledgement; bounded evidence field","Start/Submit evidence","Back to module","separate shown started submitted and completed states","server draft/evidence","not_started_or_in_progress","save/submit or return","activity_started","checklist and labels","AC-IMP-04; ACT-03","spec_ready","implementation text evidence","protected self-scoped; no fabricated proof","evidence service","ACT-03"
"TR-ACT-011","FLOW-LEARN","JRN-03","STG-LEARN-04","ACT-03","/activity/{activityId}","enrolled learner","processing","submit implementation evidence","submitting status; idempotent command","Wait","none","create/reuse canonical submission and evaluate policy","submitted local text","submitting","retry same command","implementation_submitted","status announced","AC-IMP-04","spec_ready","implementation evidence","protected self-scoped","evidence service","ACT-03"
"TR-ACT-012","FLOW-LEARN","JRN-03","STG-LEARN-04","ACT-03","/activity/{activityId}","enrolled learner","success","canonical submission accepted","submitted/completed status and limits of verification","Continue to review","View evidence","show exact result; no real-world certainty claim","canonical evidence","completed_or_recorded","open ACT-04","activity_completed","success text/icon","AC-IMP-04","spec_ready","submission fact","protected self-scoped","evidence/progress","ACT-04"
"TR-ACT-013","FLOW-LEARN","JRN-03","STG-LEARN-04","ACT-03","/activity/{activityId}","enrolled learner","retryable_error","submission fails","failure panel and preservation statement","Retry submission","Copy text","no duplicate or completion claim","browser/server draft as available","submit_failed","retry same idempotency intent","implementation_submit_failed","alert and keyboard actions","AC-IMP-04","spec_ready","none","private evidence","evidence service","ACT-03"
"TR-ACT-014","FLOW-LEARN","JRN-03","STG-LEARN-05","ACT-04","/activity/{activityId}","enrolled learner","ready","review eligible","observed-pattern prompt; draft/save state","Save review","Back to implementation","save self-observation; no reviewer/AI fabrication","review draft","in_progress","save/retry","activity_opened","label and save status","AC-IMP-04; REVIEW-01","spec_ready","review observation","private self-scoped text","evidence service","ACT-04"
"TR-ACT-015","FLOW-LEARN","JRN-03","STG-LEARN-05","ACT-04","/activity/{activityId}","enrolled learner","success","review completion accepted","review recorded; next-action explanation","Continue to improve","Edit review if policy permits","record canonical completion","canonical review","completed","open ACT-05","activity_completed","success announced","AC-IMP-04","spec_ready","review completion","protected self-scoped","progress","ACT-05"
"TR-ACT-016","FLOW-LEARN","JRN-03","STG-LEARN-06","ACT-05","/activity/{activityId}","enrolled learner","ready","improve eligible","one-change prompt; draft/save state","Save improvement","Back to review","save explicit behavior/correction/next action","improvement draft","in_progress","save/retry","activity_opened","label and requirement text","AC-IMP-04","spec_ready","improvement action","private self-scoped text","evidence service","ACT-05"
"TR-ACT-017","FLOW-LEARN","JRN-03","STG-LEARN-06","ACT-05","/activity/{activityId}","enrolled learner","success","improve completion accepted","Module 1 evaluation and resulting status","View module progress","Review answer","evaluate required activities server-side","canonical evidence","completed_or_evaluating","open module/progress","module_completion_evaluated","no auto redirect; status text","AC-IMP-04","spec_ready","completion fact","protected self/tenant","progress","PROG-01"
"TR-PROG-001","FLOW-LEARN","JRN-03","STG-LEARN-06","PROG-01","/progress","learner","loading","open progress","named progress loading state","Wait","Back home","load canonical learner and enrollment projection","none","loading","retry or session recovery","progress_viewed","progress semantics and status","current progress page; progress-runtime.tsx; learner routes","runtime_pending","none","protected self/tenant","learning projection","PROG-01"
"TR-PROG-002","FLOW-LEARN","JRN-03","STG-LEARN-06","PROG-01","/progress","learner","ready","projection resolves","program; Module 1 activity facts; Modules 2-4 topology only; next action","Open course or permitted activity","Back home","show canonical facts without mastery hidden score or invented later-module breadth","none","ready","deep-link to permitted course/activity","progress_ready","text equivalents; no color-only progress","current progress page; progress-runtime.tsx; canonical learning projection","runtime_pending","none","protected self/tenant","learning projection","ACT-01"
"TR-PROG-003","FLOW-LEARN","JRN-03","STG-LEARN-06","PROG-01","/progress","learner","empty","no canonical progress/enrollment","first-use explanation","Go to Free Course","Back home","show empty not zero or failed","none","no_progress","explicit course start entry","progress_empty","empty heading/action","current progress page; progress-runtime.tsx; AC-UXA-01","runtime_pending","none","protected self","learning projection","COURSE-01"
"TR-SET-001","FLOW-SETTINGS","JRN-04","STG-SET-01","SET-01","/settings","learner","ready","open settings","Appearance; verified account; learning profile; session cards","Use bounded setting","Back home","load current self and onboarding facts only","none","ready","retry or use existing route","settings_viewed","landmarks headings controls and focus","current settings page; settings-runtime.tsx; learner routes","runtime_pending","none","protected self","settings","SET-02"
"TR-SET-002","FLOW-SETTINGS","JRN-04","STG-SET-01","SET-03","/settings","learner","ready","learning profile card resolves","bounded onboarding facts; read-only summary; saved/in-progress status","Update learning profile","Back","route edits through existing revisioned onboarding flow","none","ready","open /onboarding; use its conflict/retry behavior","profile_settings_viewed","definition list and named link","current settings-runtime.tsx; current onboarding contract","runtime_pending","none","self-scoped; text excluded from analytics","person profile","ONB-01"
"TR-SET-003","FLOW-SETTINGS","JRN-04","STG-SET-02","SET-02","/settings","learner","ready","appearance card resolves","Light Dark System button group with aria-pressed state","Choose theme","Choose System","apply semantic theme without business mutation","theme choice","ready","choose or leave","appearance_viewed","group label; visible selected state; keyboard buttons","current theme-control.tsx; theme tests; UI system","runtime_pending","none","non-sensitive presentation","frontend/settings","SET-02"
"TR-SET-004","FLOW-SETTINGS","JRN-04","STG-SET-02","SET-02","/settings","learner","success","theme choice changes","current learner semantic tokens and color-scheme update; selected device status","Continue","Choose another","apply immediately and persist only the non-sensitive device-local choice when storage permits","theme choice","theme_applied","apply for current page and fall back to System on later read if storage is unavailable","theme_changed_if_approved","preserve focus; runtime-check announcement and first paint","current theme-control.tsx; theme tests; layout.tsx","implementation_candidate","light/dark/system category","no secret business state account sync or cross-app sync","frontend/settings","SET-01"
"TR-SET-005","FLOW-SETTINGS","JRN-04","STG-SET-03","SET-04","/settings","learner","ready","verified account and session cards resolve","verified identity facts; sign-out action","Sign out","Back","call existing logout then return to login; no MFA SSO or new recovery semantics","none","ready","retry sign-out or use existing identity recovery route","security_settings_viewed","facts grouped; button status and disabled state","current settings-runtime.tsx; existing identity routes","runtime_pending","none","protected self","identity/settings","AUTH-01"
"TR-SET-006","FLOW-SETTINGS","JRN-04","STG-SET-03","SET-05","/settings","learner","ready","privacy/legal entry is presented","existing Terms and Privacy links only","Open Privacy","Open Terms","navigate to existing public legal routes; create no deletion or retention command","none","ready","Back to settings","privacy_settings_viewed","descriptive links and headings","current /privacy and /terms routes; explicit no-deletion boundary","implementation_candidate","none","public legal information; no self-service mutation","legal/web","SET-01"
"TR-SET-007","FLOW-SETTINGS","JRN-05","STG-SET-01","SET-01","/settings","learner","offline_or_stale","settings data service unreachable","named unavailable state; device-local theme remains operable for current page","Retry","Back home","block network-dependent settings actions; allow presentation-only device theme","theme choice only","offline","reconnect and retry","offline_state_entered","status and blocked actions explicit","current settings-runtime.tsx; theme-control.tsx; AC-UXA-01","implementation_candidate","theme choice if local","no sensitive mutation offline","settings/PWA","SYS-03"
"TR-SYS-001","FLOW-SYSTEM","JRN-05","STG-RES-01","SYS-01","current route","any","loading","initial protected/data transition","structure-preserving skeleton and named status","Wait","Cancel only when safe","continue bounded load","safe local input","loading","retry/session path on timeout","surface_loading","single restrained live announcement","UX State Spec; UI system","spec_ready","none","no protected placeholder data","surface owner","SYS-01"
"TR-SYS-002","FLOW-SYSTEM","JRN-05","STG-RES-01","SYS-02","current route","any","retryable_error","transient request/provider failure","domain-specific error; preservation statement","Retry","Safe alternate action","no canonical success mutation","contract-specific safe input","retryable_error","bounded retry then support","surface_retryable_error","alert plus focusable actions","UX State Spec; AC-UXA-01","spec_ready","none","sanitized error only","surface owner","SYS-02"
