fetch_order,source_key,title,drive_id,drive_url,source_kind,authority_role,observed_revision_id,fetched_at,status,package_use
11,UX-STATES,"UX State Specification — Screens, States, Transitions & Edge Cases",10HzU7kLk78WBHd_Y23jYaP0rIaScq7gW27e5D7D-08E,https://docs.google.com/document/d/10HzU7kLk78WBHd_Y23jYaP0rIaScq7gW27e5D7D-08E/edit,google_doc,canonical presentation and recovery states,ANLCKQlqlaEXXyLqTdAnuBSuVm1PDbMTuVAj2iyDg3EjdZrb00nlQlfWRuKOfvGXSzHJmsPl9nROAII1VKSMdKItOCLTEcjSAoKDpLX2e-o,2026-09-03,read_exact_id,state taxonomy and transitions
12,UI-SYSTEM,UI Design System & Component Specification,1y7yCqro9ABW8Yn61ZVmnLV8eGlelcq3BisCDTx40SsI,https://docs.google.com/document/d/1y7yCqro9ABW8Yn61ZVmnLV8eGlelcq3BisCDTx40SsI/edit,google_doc,semantic tokens components responsive and accessibility,ANLCKQm7-O39EH0vaHObKs3Z23wLz4guXS1vVnplwjqzYNM4_2PX9Wd4R_Nd684h5Ru18njP2KIASb_yHDKCcs1fU1xNoO5ArzAzS6MoBDk,2026-09-03,read_exact_id,component contract and theme boundaries
13,SRS,SRS — Software Requirements Specification,1qE_ASXOBN-AAuIglfs4-5Fi_HN3x-jDItBYdb95Ou2g,https://docs.google.com/document/d/1qE_ASXOBN-AAuIglfs4-5Fi_HN3x-jDItBYdb95Ou2g/edit,google_doc,testable functional and quality requirements,AIroW37DXoVW8LzSfnLzr0kwW_Vk5MVmx5ENNtg5Barw384D2efmXspW_lGSa55EmBWgof1suvuW3CwX0WMQuM3fobd-6QMQ8EY1TvZFw1M,2026-09-03,read_exact_id,route behavior and acceptance mapping
14,DATA-TENANCY,"Domain, Data, Event & Tenancy Model",1SUxNYTu30NXwBEbk7os1OBVn4H5qBky-LnzLuOvwaYw,https://docs.google.com/document/d/1SUxNYTu30NXwBEbk7os1OBVn4H5qBky-LnzLuOvwaYw/edit,google_doc,canonical entities tenancy and event planes,AIroW37cSfGIOh_hD1qNXIQivBoTyP6D6hlKDshjgoioKYtAEVzOktHhP9DB_B0UyabnGQcv6OeLJtsPVjlE2ABn9Inz9Ynu_8MPnFH_5Ts,2026-09-03,read_exact_id,source of truth labels and privacy boundaries
15,API-MCP,"API, Webhook & MCP Contract Specification",1kWawS57AGVv7jT5Kp2V0Mk8kK0B6BwPzlG6KiAOtpt0,https://docs.google.com/document/d/1kWawS57AGVv7jT5Kp2V0Mk8kK0B6BwPzlG6KiAOtpt0/edit,google_doc,API/authz/idempotency and event contract,AIroW35MbTCQDFD_RXm0tr2vJwXL3QyRnvjBHlnTxK54wggvIIFx15BSdQhYwppY6v5TeIE7p5rn1Llp5LzQSASK6imdwa8I0-4T_8dsvjc,2026-09-03,read_exact_id,action/recovery behavior and no client authority
16,SECURITY,"Security, Privacy, IAM, Compliance & Audit Specification",1rFTiq7BI4dpLLMIDacC8qMhpAbAmOct8W_I65Ydqbmw,https://docs.google.com/document/d/1rFTiq7BI4dpLLMIDacC8qMhpAbAmOct8W_I65Ydqbmw/edit,google_doc,security privacy identity and audit,AIroW34flpnh_lwQADGRsJgeIKaZBMTM6XNyriTmasglyY83I9hgXa1etgtLOENw-UKXsBTT_fvv_RSGFdNK6NxMKInUNzyXG-cUuXkcXJg,2026-09-03,read_exact_id,session profile and data safety
17,ADMIN,"Admin, ERPNext & Business Operations Specification",12-VjN02jx8M7S8wJrZLcl4OwLcXIFGXKu74wxdJrWuY,https://docs.google.com/document/d/12-VjN02jx8M7S8wJrZLcl4OwLcXIFGXKu74wxdJrWuY/edit,google_doc,operator recovery and product-control boundary,AIroW37a3geWo8DrFCLzeXR1F0qpL1UsvpNcbJezIrXWx8sWO1rwtUtGl6h7nyTQEINl5Mv5zIA6eMRs6iKlko0Jczx97250z09OM4ZbORU,2026-09-03,read_exact_id,support ownership and safe correction boundary
18,TELEMETRY,"Telemetry, Analytics, Experimentation & AI Evaluation Specification",1ggdrD_ldZL3ItJsAMONq_ygQFjbR6dOURpeHGXd4M4I,https://docs.google.com/document/d/1ggdrD_ldZL3ItJsAMONq_ygQFjbR6dOURpeHGXd4M4I/edit,google_doc,canonical facts versus analytics,AIroW37O8lMKx98tkRzq_0ccDIYt0fu1o4pdsCx0j5pH8NHB6WN9nct95kLImiymOIcck7nNUKpDeOTpOKa9v_SJH5b7NmsK3u7-_Y15KYw,2026-09-03,read_exact_id,events and descriptive insight limits
19,MOBILE-PWA,"Mobile, Capacitor, PWA & Store Publication Specification",1wxYkUGdHchtSYFpiXxGWQoaT95D4y4LO_qZG7MlEsoI,https://docs.google.com/document/d/1wxYkUGdHchtSYFpiXxGWQoaT95D4y4LO_qZG7MlEsoI/edit,google_doc,mobile offline native seam and store policy,AIroW34LSHeWzcAoZTZqwYi0NOcedejG7im6LXXUz8x-Bf8IkDcD2yxIOBH2omsvxr6CyG1UQhJ11nv4U3oRGBbJipiyui4uNQr5h3kgVXg,2026-09-03,read_exact_id,responsive offline and session behavior
20,DEVOPS-SRE,"DevOps, Environments, SRE, Backup & Observability Specification",1r1P2XdYSY8XhcgLR6icYqhlN1vEbqKagj8Rb16JpcJs,https://docs.google.com/document/d/1r1P2XdYSY8XhcgLR6icYqhlN1vEbqKagj8Rb16JpcJs/edit,google_doc,reproducible release and recovery evidence,ANLCKQmYWYl8nZY_hYxzeyxzQPJVwBbNEN04_8WK7qveG-YsFjMKXv4YS98yuHK9lU298R_ACG9pqNwcHJKHQMemPriusrlwSk32LLPtskc,2026-09-03,read_exact_id,release and rollback boundary
21,QA-RELEASE,"QA, Verification, Release Gates & Six-Month Delivery Plan",1DUx9JIHNC1KCR62Qso6KTFPoBxmfhU6GSuNqSl87hBg,https://docs.google.com/document/d/1DUx9JIHNC1KCR62Qso6KTFPoBxmfhU6GSuNqSl87hBg/edit,google_doc,verification and release acceptance,ANLCKQlrrY2yZ0FXTbE7_p2IKpSHvUo0fqxDRcFU7yHbUovuMJF1d_XwV3lBebQ478Z8kSY3n3bdQs9hbCzRuJhDZOWOnFme4tvc5KpChCU,2026-09-03,read_exact_id,QA cases and evidence requirements
22,ADR-RISK,"ADR, Risk, Assumption, Open Question & Change Log",1cNE-8DB0iX28U5IR_StkO-JGE2TPG-pbKn6LQ-bZSaY,https://docs.google.com/document/d/1cNE-8DB0iX28U5IR_StkO-JGE2TPG-pbKn6LQ-bZSaY/edit,google_doc,accepted decisions and active risks,AIroW37YfETiUtrrP6CgFZAC64DEyfyYV7-rmejEB_e1cQUd50EwCHySoyB_pBelA-GP9ImLGWHRJ9IZfE6ANI73RZc9ttOTAtmmI3V3GRA,2026-09-03,read_exact_id,decision and gap handling
23,AC-UXA-01,"AC-UXA-01 — Adversarial UX, Service Recovery & Accessibility Audit",1ZRyNPkkfc8DsBAlpKE9ksb6Oi-nB9BX-,https://drive.google.com/file/d/1ZRyNPkkfc8DsBAlpKE9ksb6Oi-nB9BX-/view,docx,adversarial recovery and accessibility assurance,,2026-09-03,read_exact_id,"three-layer state model, recovery ownership, target sizes and focus"
