flow_id,screen_id,route,actor,state,trigger,visible_structure,primary_action,secondary_action,system_response,preserved_input,error_or_status,recovery,analytics_event,accessibility_requirement,source_of_truth,qa_status,platform_scope,capability_gate,data_boundary
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,ready,approved media session available,"poster; title; player controls; activity context",Play,Back to module,begin playback from canonical start or resume position,none,Video ready,retry session if it expires,not_assigned,"video has accessible name; controls have labels and visible focus",approved media policy and playback session,gap_blocked,desktop_chrome|pwa,approved media source,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,resume_available,canonical resume position returned,"poster/player; resume notice; exact position label",Resume from saved position,Start from beginning,seek to canonical position without completion claim,none,Resume from your saved position,choose start or resume explicitly,not_assigned,"resume choice is a labelled button group; no hidden auto-seek",canonical playback resume projection,gap_blocked,desktop_chrome|pwa,approved resume contract,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,playing,learner activates Play,"video; controls; captions/transcript affordance when approved",Pause,Open captions/transcript,render playback and bounded online evidence checkpoint,none,Playing,handle pause/network/provider failure,not_assigned,"keyboard and touch controls are equivalent; status is announced politely",approved media session and playback evidence,gap_blocked,desktop_chrome|pwa,media playback and evidence,canonical_online_mutation
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,paused,learner pauses or platform suspends,"video poster/current frame; resume cue; controls",Play,Back to module,preserve current presentation position and server revision when available,none,Paused,play again or return safely,not_assigned,"pause state is text/icon plus control state; focus stays predictable",media element presentation state,spec_ready,desktop_chrome|pwa,media playback,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,processing,watch checkpoint accepted but canonical evidence pending,"player; evidence-pending status; roadmap unchanged",Continue watching,Refresh status,show processing without completion claim,none,Watch progress is being processed,bounded refresh or continue,not_assigned,"live status announced without stealing focus",server playback evidence and progress projection,gap_blocked,desktop_chrome|pwa,watch evidence policy,canonical_online_mutation
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,retryable_error,media source or playback session temporarily fails,"player error panel; saved coverage/resume statement",Retry video,Back to module,keep canonical coverage and retry the session,none,Video could not load,bounded retry then approved support path,not_assigned,"error is associated with player and retry; no infinite loop",media delivery port and activity projection,gap_blocked,desktop_chrome|pwa,provider-neutral media seam,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,terminal_error,media policy denies or source is permanently unsupported,"honest blocked panel; module context; no fake controls",Return to module,Open approved alternative if present,do not render playback or mark complete,none,This video is not available in this lesson,follow the named support/alternative path,not_assigned,"terminal explanation is readable and action has focus",media policy and content provenance,gap_blocked,desktop_chrome|pwa,media governance,no_protected_payload
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,capability_unavailable,browser lacks speed/fullscreen/PiP support,"player remains usable; unsupported control omitted or explained",Continue inline,Back to module,keep playback available without unsupported affordance,none,This player control is not supported here,use browser/native control when available,not_assigned,"unavailable feature is not communicated by color only",browser capability detection,spec_ready,desktop_chrome|pwa,feature detection,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,offline_or_stale,connection lost during or before playback,"cached poster/outline only when allowlisted; offline label",Reconnect,Read module outline,block new playback and canonical watch submit,local presentation position only,Offline — video progress is not synced,reconnect then re-read and resume,not_assigned,"offline state is announced; no hidden auto-submit",approved offline cache policy,spec_ready,desktop_chrome|pwa,offline media policy,local_recovery_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,unauthorized_or_expired,session invalid during player use,"session boundary; protected activity/media removed",Sign in again,Back,clear protected data and hold only approved return route,approved local draft if any,Session expired,reauthenticate then re-read activity,not_assigned,"focus recovery heading; no media URL or payload disclosed",identity/session API,spec_ready,desktop_chrome|pwa,session,local_recovery_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,backgrounded,document becomes hidden or app backgrounds,"player state on return; paused check if authored cue was reached",Return to video,Back to module,preserve position and reconcile hidden time on visibility return,none,Video was backgrounded,re-read playback/evidence state; do not infer coverage,not_assigned,"return focus is predictable; background notice is text",Page Visibility plus canonical playback evidence,spec_ready,desktop_chrome|pwa,background behavior,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,orientation_change,viewport rotates,"responsive player; controls and task remain reachable",Continue,Open player controls,reflow while retaining current position and focus target,none,Layout adjusted,continue inline if orientation lock fails,not_assigned,"no two-axis scroll; focus not lost during reflow",responsive layout and browser orientation API,spec_ready,desktop_chrome|pwa,orientation support,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,success,canonical coverage predicate true,"player completion status; next authorized roadmap action",Continue to next activity,Review video,show exact completion fact and next action without mastery claim,none,Video participation recorded,open only the canonical next activity,not_assigned,"completion uses text/icon and does not auto-navigate",canonical learning projection,gap_blocked,desktop_chrome|pwa,watch evidence policy,canonical_online_mutation
FLOW-LL-02,LL-CAP-01,/activity/{activityId},enrolled learner,loading,captions/transcript metadata requested,"player retained; panel skeleton; close control",Wait for captions,Continue without panel,load approved tracks/text without blanking player,none,Loading captions and transcript,bounded content retry,not_assigned,"panel has labelled region and predictable focus",approved media content projection,gap_blocked,desktop_chrome|pwa,caption/transcript source,read_only
FLOW-LL-02,LL-CAP-01,/activity/{activityId},enrolled learner,captions_ready,approved VTT track available,"caption toggle; locale; readable cue display",Turn captions on,Open transcript,enable the selected approved caption track,none,Captions available,change locale or turn off,not_assigned,"toggle has On/Off text; caption contrast and size are readable",approved caption track/content,gap_blocked,desktop_chrome|pwa,caption source,read_only
FLOW-LL-02,LL-CAP-01,/activity/{activityId},enrolled learner,captions_unavailable,no approved caption track or locale,"caption control hidden or explicit unavailable status",Continue video,Open transcript if available,keep player usable and explain missing captions,none,Captions are not available for this lesson,report/return through named path,not_assigned,"unavailable status is text; no decorative CC icon claim",media/content governance,gap_blocked,desktop_chrome|pwa,caption source,no_protected_payload
FLOW-LL-02,LL-CAP-01,/activity/{activityId},enrolled learner,transcript_ready,approved transcript projection available,"transcript disclosure/panel; ordered text; optional cue context",Open transcript,Close transcript,show approved transcript without changing completion,none,Transcript available,close and return focus to invoking control,not_assigned,"transcript is a labelled scroll region; current cue not required if timing absent",approved transcript/content projection,gap_blocked,desktop_chrome|pwa,transcript source,read_only
FLOW-LL-02,LL-CAP-01,/activity/{activityId},enrolled learner,transcript_unavailable,transcript absent or denied,"panel explains unavailability; player/task remain",Continue video,Close panel,do not fabricate transcript or generate a substitute,none,Transcript is not available,return to player or support path,not_assigned,"status is associated with control and announced",media/content governance,gap_blocked,desktop_chrome|pwa,transcript source,no_protected_payload
FLOW-LL-02,LL-CAP-01,/activity/{activityId},enrolled learner,permission_denied,caption/transcript policy denies access,"safe player; policy message; no protected text",Continue inline,Back to module,omit protected track/text payload,none,This text is not available for this learner,follow approved route,not_assigned,"no protected text is exposed; action remains keyboard reachable",content authorization policy,gap_blocked,desktop_chrome|pwa,content authorization,no_protected_payload
FLOW-LL-03,LL-KC-01,/activity/{activityId},enrolled learner,ready,authored cue reached and check is authorized,"paused player context; one question; answer options; progress context",Choose an answer,Skip if allowed,show stable authored options and hold selection locally,none,Check your understanding,select or close without losing cue context,not_assigned,"question uses fieldset/legend; focus enters check and returns on close",authored interaction schema,spec_ready,desktop_chrome|pwa,knowledge-check schema,local_recovery_only
FLOW-LL-03,LL-KC-01,/activity/{activityId},enrolled learner,validation_error,submit requested without complete selection,"question retained; inline error; selected fields preserved",Choose an answer,Review lesson cue,block submit and focus first missing/invalid field,selected option if any,Choose an answer before continuing,correct and resubmit,not_assigned,"error is programmatically associated and focus moves once",authored interaction schema,spec_ready,desktop_chrome|pwa,knowledge-check schema,local_recovery_only
FLOW-LL-03,LL-KC-01,/activity/{activityId},enrolled learner,processing,answer submitted online,"question locked while processing; status region",Wait,none,validate authored answer without duplicate submission,selected answer,Checking your answer,bounded retry only after server response,not_assigned,"aria-busy/status announced; no focus theft",assessment command and revision,gap_blocked,desktop_chrome|pwa,online assessment command,canonical_online_mutation
FLOW-LL-03,LL-KC-01,/activity/{activityId},enrolled learner,success,authored feedback returned,"feedback explanation; next cue/continue action; no score",Continue lesson,Try again,show deterministic content feedback and retain attempt history,selected answer,Feedback available,review explanation or retry when policy allows,not_assigned,"feedback is read in order; correct/incorrect never color-only",authored feedback projection,gap_blocked,desktop_chrome|pwa,knowledge-check schema,canonical_online_mutation
FLOW-LL-03,LL-KC-01,/activity/{activityId},enrolled learner,retryable_error,answer command or network fails,"question and selected answer retained; retry panel",Try again,Close check,preserve selection and reuse idempotent intent,selected answer,We could not record this answer,retry online; no canonical result until accepted,not_assigned,"retry action and error are associated",assessment command,gap_blocked,desktop_chrome|pwa,network,local_recovery_only
FLOW-LL-03,LL-KC-01,/activity/{activityId},enrolled learner,offline_or_stale,network unavailable at cue,"paused question; offline status; submit disabled",Reconnect,Review lesson cue,hold selection locally only and block canonical submit,selected answer,Offline — answer not recorded,reconnect then re-read attempt revision,not_assigned,"offline label is text; disabled submit explains why",approved offline boundary,gap_blocked,desktop_chrome|pwa,offline assessment policy,local_recovery_only
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,loading,assessment schema requested,"assessment-shaped skeleton; question order placeholder",none,Back to activity,load authored schema and attempt revision,none,Preparing assessment,bounded retry,not_assigned,"skeleton preserves order and status is announced",authored interaction schema,spec_ready,desktop_chrome|pwa,assessment schema,read_only
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,ready,assessment authorized,"question; authored controls; review/submit actions",Review answers,Back to activity,allow selection and local review without grading,selected answers,Assessment ready,continue or exit with safe draft warning,not_assigned,"fieldset/legend; no drag-only interaction; question position is textual",authored interaction schema,gap_blocked,desktop_chrome|pwa,assessment schema,local_recovery_only
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,validation_error,required response missing or invalid,"invalid fields; summary; preserved answers",Fix responses,Back to activity,block submit and focus first error,all valid selected answers,Complete the required responses,correct and resubmit,not_assigned,"summary links to fields; error text is not color-only",authored interaction schema,gap_blocked,desktop_chrome|pwa,assessment schema,local_recovery_only
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,processing,assessment submit requested,"submit busy; answer summary; status region",Wait,none,send one idempotent online submission and disable duplicates,selected answers,Submitting assessment,wait for result or bounded retry,not_assigned,"busy state announced; focus remains stable",assessment command and revision,gap_blocked,desktop_chrome|pwa,online assessment command,canonical_online_mutation
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,retryable_error,submit or fetch fails transiently,"answers preserved; error/retry panel",Try again,Keep reviewing,reuse the same intent or re-read current attempt,selected answers,Assessment could not be recorded,retry online; no duplicate attempt,not_assigned,"error and retry are associated; no data loss claim",assessment command,gap_blocked,desktop_chrome|pwa,network,local_recovery_only
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,terminal_error,assessment policy/content unavailable,"honest unavailable state; no zero score or placeholder",Return to activity,Open approved support path,do not invent questions or official result,none,Assessment is unavailable,return to authorized activity/support,not_assigned,"terminal heading and action are perceivable",assessment policy/content,gap_blocked,desktop_chrome|pwa,assessment governance,no_protected_payload
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,offline_or_stale,network unavailable,"answers retained locally; stale label; submit disabled",Reconnect,Keep reviewing,block canonical submit and label unsent attempt,selected answers,Offline — assessment not submitted,reconnect and re-read attempt revision,not_assigned,"offline state announced; no background submit claim",approved offline boundary,gap_blocked,desktop_chrome|pwa,offline assessment policy,local_recovery_only
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,success,authored submission accepted,"recorded status; authored feedback; next authorized action; no mastery",Continue to reflection,Review responses,show exact recorded result and next action,selected answers,Assessment recorded,open next route only from projection,not_assigned,"result uses text and icon; no score/rank unless separately approved",canonical assessment submission,gap_blocked,desktop_chrome|pwa,assessment governance,canonical_online_mutation
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,locked,prerequisite or policy unmet,"safe reason; no assessment payload",Open prerequisite,Back to activity,deny assessment and preserve module context,none,Complete the required lesson first,follow canonical prerequisite,not_assigned,"lock reason is associated with action",server authorization and prerequisite projection,spec_ready,desktop_chrome|pwa,assessment authorization,no_protected_payload
FLOW-LL-03,LL-QZT-01,/activity/{activityId}/assessment,enrolled learner,unauthorized_or_expired,session invalid,"session boundary; protected attempt cleared",Sign in again,Back,clear protected answers unless approved local recovery permits,approved local attempt only,Session expired,reauthenticate and re-read attempt,not_assigned,"focus recovery heading; do not disclose attempt existence",identity/session API,spec_ready,desktop_chrome|pwa,session,local_recovery_only
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,ready,reflection authorized,"prompt; labelled text area; saved/unsaved status; next action",Write reflection,Back to activity context,load latest draft revision and retain empty state,server draft if present,Ready to reflect,save or leave with safe warning,not_assigned,"label and purpose are programmatically associated",draft revision service,spec_ready,desktop_chrome|pwa,draft policy,local_recovery_only
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,dirty,learner edits text,"text area; unsaved status; primary save",Save reflection,Copy text or go back,retain input and mark dirty without completion claim,current text,Unsaved changes,save online or keep approved local recovery,not_assigned,"dirty state is text/icon; unload guard only while safe",draft revision and local recovery,spec_ready,desktop_chrome|pwa,draft policy,local_recovery_only
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,saving,save requested,"text area retained; saving status; duplicate action disabled",Wait,Stay here,persist exact revision with If-Match/idempotency,current text,Saving,wait or retry after bounded failure,not_assigned,"polite status update; focus and caret remain stable",draft revision service,spec_ready,desktop_chrome|pwa,draft policy,canonical_online_mutation
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,saved,server acknowledges revision,"text area; saved timestamp/status; next action",Continue to implementation,Keep editing,show canonical saved revision and resolve next authorized task,current saved text,All changes saved,continue or edit explicitly,not_assigned,"saved status uses text/icon and is announced once",draft revision service,spec_ready,desktop_chrome|pwa,draft policy,canonical_online_mutation
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,validation_error,required field or policy invalid,"field error; summary; text preserved",Correct reflection,Back,block write and focus first invalid field,current text,Review the highlighted field,correct and resubmit,not_assigned,"error is associated with text area and summary",draft policy,spec_ready,desktop_chrome|pwa,draft policy,local_recovery_only
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,retryable_error,save or network fails transiently,"text retained; save-failed alert; retry/copy actions",Retry save,Copy text,do not claim canonical save; preserve safe local copy,current text,We could not save your reflection,retry online or copy before leaving,not_assigned,"alert, retry, and copy controls are keyboard reachable",draft service and local recovery,spec_ready,desktop_chrome|pwa,network,local_recovery_only
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,conflict,server revision changed,"local/server comparison; explicit merge choice",Review versions,Keep working locally,preserve both revisions and require explicit reconciliation,current text and server revision,Another saved version is available,merge or choose then save against latest revision,not_assigned,"conflict is labelled and focusable; no silent overwrite",canonical draft revision,spec_ready,desktop_chrome|pwa,revision policy,local_recovery_only
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,offline_or_stale,connection lost with unsaved text,"text retained; stale/offline label; save disabled",Reconnect,Keep working locally,allow local approved recovery only and block canonical save,current text,Offline — draft not synced,reconnect then re-read and reconcile,not_assigned,"offline status announced; no background canonical write",approved local draft boundary,spec_ready,desktop_chrome|pwa,offline draft policy,local_recovery_only
FLOW-LL-04,LL-REF-01,/activity/{activityId},enrolled learner,unauthorized_or_expired,session invalid during edit,"session boundary; protected content cleared; safe return path",Sign in again,Back,reauthenticate before restoring approved local text,current approved local draft,Session expired,re-read latest draft and conflict-check,not_assigned,"focus recovery heading; no protected text disclosure",identity/session and draft policy,spec_ready,desktop_chrome|pwa,session,local_recovery_only
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,ready,implementation challenge authorized,"instructions; bounded text/structured evidence fields; submission action",Start evidence,Back to reflection,load latest evidence draft and allowed schema,server draft if present,Ready to record evidence,save or return safely,not_assigned,"instructions and fields have labels; no unsupported upload control",evidence policy and activity projection,spec_ready,desktop_chrome|pwa,evidence schema,local_recovery_only
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,dirty,learner edits evidence,"fields; unsaved status; submit/save distinction",Save evidence,Copy text,retain input without asserting real-world completion,current evidence text,Unsaved evidence,save online or keep approved local recovery,not_assigned,"field errors/status associated; primary target 44px intent",evidence draft revision,spec_ready,desktop_chrome|pwa,evidence schema,local_recovery_only
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,saving,save requested,"fields retained; saving status",Wait,Stay here,persist exact evidence draft revision,current evidence text,Saving evidence,wait or retry safely,not_assigned,"status announced; no duplicate action",draft/evidence revision service,spec_ready,desktop_chrome|pwa,evidence schema,canonical_online_mutation
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,processing,submit evidence requested,"submitting status; idempotency boundary; fields read-only",Wait,none,create/reuse canonical submission and evaluate policy,current evidence text,Submitting evidence,retry same intent after response,not_assigned,"busy status announced without focus theft",evidence command and policy,gap_blocked,desktop_chrome|pwa,evidence policy,canonical_online_mutation
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,saved,server draft acknowledged,"saved evidence draft; explicit submit action",Submit evidence,Keep editing,show draft saved but not submitted/current complete,current saved evidence,All changes saved,submit explicitly when online,not_assigned,"saved is distinct from submitted/completed",evidence draft revision,spec_ready,desktop_chrome|pwa,evidence schema,canonical_online_mutation
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,validation_error,required evidence missing or attachment gate unmet,"field errors; unsupported attachment explanation if relevant",Correct evidence,Back to reflection,block submit and preserve all safe fields,current evidence text,Complete the required evidence fields,correct then resubmit,not_assigned,"summary links to fields; unavailable upload reason is text",evidence policy,spec_ready,desktop_chrome|pwa,evidence schema,local_recovery_only
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,conflict,server evidence revision changed,"server/local comparison; preserve-both recovery",Review versions,Keep working locally,require explicit reconciliation before canonical save/submit,current evidence and server revision,Another saved version is available,merge or choose then save,not_assigned,"conflict is keyboard reachable and not color-only",canonical evidence revision,spec_ready,desktop_chrome|pwa,revision policy,local_recovery_only
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,retryable_error,submit or save fails,"evidence retained; retry panel; no duplicate claim",Retry submission,Copy text,keep draft and reuse idempotent intent,current evidence text,We could not record your evidence,retry online or copy recovery text,not_assigned,"alert and recovery actions are associated",evidence service,spec_ready,desktop_chrome|pwa,network,local_recovery_only
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,offline_or_stale,connection lost,"evidence retained; unsynced label; canonical submit disabled",Reconnect,Keep working locally,block canonical save/submit and never queue a hidden write,current evidence text,Offline — evidence not synced,reconnect then re-read revision,not_assigned,"offline status announced; no real-world proof claim",approved local recovery and evidence policy,spec_ready,desktop_chrome|pwa,offline evidence policy,local_recovery_only
FLOW-LL-04,LL-IMP-01,/activity/{activityId},enrolled learner,success,canonical evidence accepted,"submitted status; review availability; no certainty claim",Open human review,View submitted evidence,show submission fact and next authorized route,current submitted evidence,Evidence recorded,await assignment or continue per projection,not_assigned,"success text/icon; no fabricated reviewer/result",canonical evidence submission,gap_blocked,desktop_chrome|pwa,evidence policy,canonical_online_mutation
FLOW-LL-04,LL-REV-01,/activity/{activityId},enrolled learner,awaiting_review,evidence submitted with no reviewer result,"submitted evidence summary; neutral waiting state",View submitted evidence,Back to module,show waiting without inventing reviewer identity or evaluation,none,Awaiting human review,refresh when online or return,not_assigned,"waiting status is textual and purpose is explicit",assigned-reviewer policy,gap_blocked,desktop_chrome|pwa,human review assignment,read_only
FLOW-LL-04,LL-REV-01,/activity/{activityId},enrolled learner,no_reviewer,review route authorized but no assignment exists,"honest unavailable assignment state; learner evidence retained",Return to improve when authorized,Back to module,do not create a coach/reviewer placeholder,none,No human review is assigned,follow canonical next action,not_assigned,"no-review state is not a disabled mystery control",assigned-reviewer policy,gap_blocked,desktop_chrome|pwa,human review assignment,no_protected_payload
FLOW-LL-04,LL-REV-01,/activity/{activityId},assigned human reviewer,ready,explicit assignment and permission returned,"submission context; review fields; provenance; no hidden learner data",Add review note,Back to assignment,load latest assigned submission and revision,review draft if present,Review ready,save or return safely,not_assigned,"review fields labelled; learner-private content minimized",assigned-reviewer policy,gap_blocked,desktop_chrome|pwa,human review assignment,local_recovery_only
FLOW-LL-04,LL-REV-01,/activity/{activityId},assigned human reviewer,processing,review submit requested,"review fields retained; busy status; duplicate action blocked",Wait,none,append one review result with actor/purpose/provenance,review text,Submitting review,retry same intent after response,not_assigned,"busy status announced; no focus theft",review command and audit boundary,gap_blocked,desktop_chrome|pwa,human review assignment,canonical_online_mutation
FLOW-LL-04,LL-REV-01,/activity/{activityId},enrolled learner,success,review result visible by policy,"review result; provenance/time if allowed; next improve action",Open improve,Back to evidence,show human-authored result without score/mastery inference,none,Review available,open improve only if projection allows,not_assigned,"result source is named; no color-only outcome",assigned reviewer result,gap_blocked,desktop_chrome|pwa,human review visibility,read_only
FLOW-LL-04,LL-REV-01,/activity/{activityId},assigned human reviewer,retryable_error,review save fails transiently,"review text retained; retry panel",Retry review,Back to assignment,do not claim result recorded; preserve review draft,review text,Review could not be saved,retry online or leave safely,not_assigned,"error and retry are associated with the review fields",review service,gap_blocked,desktop_chrome|pwa,network,local_recovery_only
FLOW-LL-04,LL-REV-01,/activity/{activityId},assigned human reviewer,permission_denied,assignment absent or revoked,"safe denial; no learner/private payload",Return to assignment,Back,fail closed and do not expose review controls,none,You are not assigned to review this evidence,request assignment through approved path,not_assigned,"denial is textual; no hidden protected fields",authorization matrix,gap_blocked,desktop_chrome|pwa,reviewer authorization,no_protected_payload
FLOW-LL-04,LL-IMPR-01,/activity/{activityId},enrolled learner,ready,review/self-review eligible,"one improvement prompt; retry/next actions; loop context",Choose one improvement,Back to review,load latest improve draft and authorized destinations,server draft if present,Ready to improve,save or retry eligible activity,not_assigned,"prompt label and actions are clear; no AI suggestion implied",learning projection and improve policy,spec_ready,desktop_chrome|pwa,improve schema,local_recovery_only
FLOW-LL-04,LL-IMPR-01,/activity/{activityId},enrolled learner,dirty,learner edits improvement,"prompt; unsaved text/choice; action buttons",Save improvement,Copy text,retain input and mark dirty,current improvement,Unsaved changes,save online or use approved local recovery,not_assigned,"dirty state is text/icon; copy recovery remains reachable",improve draft revision,spec_ready,desktop_chrome|pwa,improve schema,local_recovery_only
FLOW-LL-04,LL-IMPR-01,/activity/{activityId},enrolled learner,saving,save requested,"improvement retained; saving status",Wait,Stay here,persist exact improvement revision,current improvement,Saving improvement,retry safely after response,not_assigned,"polite status; focus/caret stable",improve draft service,spec_ready,desktop_chrome|pwa,improve schema,canonical_online_mutation
FLOW-LL-04,LL-IMPR-01,/activity/{activityId},enrolled learner,locked,review/prerequisite unmet,"safe reason; no improve payload",Open required activity,Back to module,deny improve and name prerequisite,none,Complete the prior activity first,follow canonical projection,not_assigned,"lock reason associated with action",server authorization and learning projection,spec_ready,desktop_chrome|pwa,improve authorization,no_protected_payload
FLOW-LL-04,LL-IMPR-01,/activity/{activityId},enrolled learner,retryable_error,improve save/submit fails,"input retained; retry panel",Retry save,Copy text,keep safe draft and reuse idempotent intent,current improvement,We could not save the improvement,retry online or copy recovery,not_assigned,"error and retry reachable by keyboard/touch",improve service,spec_ready,desktop_chrome|pwa,network,local_recovery_only
FLOW-LL-04,LL-IMPR-01,/activity/{activityId},enrolled learner,offline_or_stale,connection lost,"improvement retained; unsynced status; submit disabled",Reconnect,Keep working locally,block canonical write and label local copy,current improvement,Offline — improvement not synced,reconnect then re-read revision,not_assigned,"status announced; no background canonical write",approved local recovery,spec_ready,desktop_chrome|pwa,offline improve policy,local_recovery_only
