flow_id,screen_id,route,actor,state,trigger,visible_structure,primary_action,secondary_action,system_response,preserved_input,error_or_status,recovery,analytics_event,accessibility_requirement,source_of_truth,qa_status
FLOW-AUTH-ONB-01,AUTH-05,/reset-password,anonymous,processing,submit valid reset,"busy state; no duplicate submit",Wait,Cancel navigation,"consume token and revoke sessions per contract",none,password_reset_processing,reload safe result,reset_password_started,"announce status; retain heading focus",identity/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-05,/reset-password,anonymous,terminal_error,token invalid or expired,"safe terminal message; recovery link",Request new recovery,Sign in,"do not reveal token/account detail",none,reset_token_invalid_or_expired,use forgot-password,reset_password_terminal,"announce terminal state",identity API,spec_ready
FLOW-AUTH-ONB-01,AUTH-05,/reset-password,anonymous,success,reset confirmed,"confirmation and next route",Continue to sign in,none,"active sessions revoked as defined; no stale cache reuse",none,password_reset_complete,sign in again,reset_password_completed,"success announced; focus action",identity/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-06,/auth/callback,anonymous,processing,OAuth callback received,"provider-independent processing card",Wait,Return to sign in,"validate state/nonce/surface before exchange",return intent,oauth_processing,retry safe callback or return,oauth_callback_started,"status live region",signed OAuth transaction,spec_ready
FLOW-AUTH-ONB-01,AUTH-06,/auth/callback,anonymous,success,valid callback result,"bounded success and next action; no provider payload",Continue,Sign in,"establish or recover canonical session as contract allows",return intent,oauth_complete,continue to intended safe route,oauth_callback_completed,"heading and action focus",identity/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-06,/auth/callback,anonymous,retryable_error,provider outage or transient exchange failure,"neutral error with retry and sign-in",Retry,Use email sign in,"do not create duplicate identity or disclose provider detail",return intent,oauth_provider_unavailable,retry or sign in,oauth_callback_retry,"error linked to actions",identity/provider adapter,spec_ready
FLOW-AUTH-ONB-01,AUTH-06,/auth/callback,anonymous,terminal_error,invalid state/host/cookie/callback shape,"fail-closed recovery card",Return to sign in,Contact help,"discard transaction and reveal no tokens/payload",none,oauth_callback_rejected,use allowlisted same-origin recovery,oauth_callback_rejected,"announce safe failure; no raw error",identity API,spec_ready
FLOW-AUTH-ONB-01,AUTH-07,/session-expired,learner,ready,401 or stale session detected,"expiry reason; intended-route label; draft reassurance",Reauthenticate,Leave safely,"retain return intent and supported local draft",safe draft and route,session_expired,choose eligible reauth path,session_expiry_viewed,"heading first; explain preserved work",host-only session plus local draft,spec_ready
FLOW-AUTH-ONB-01,AUTH-07,/session-expired,learner,processing,reauth submitted,"busy status and return intent",Wait,Cancel safe navigation,"validate new session before restoring route",safe draft,reauth_processing,retry without duplicate mutation,reauth_started,"announce processing and retain focus",identity/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-07,/session-expired,learner,retryable_error,reauth network/provider failure,"retry panel; preserved intent",Retry reauthentication,Use alternate sign-in,"no protected data rendered until authorized",safe draft,reauth_failed,reconnect/retry or support,reauth_retry,"error and recovery action announced",identity/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-07,/session-expired,learner,offline_or_stale,reauth attempted offline,"offline explanation; draft status; no private refresh",Reconnect,Save local draft if supported,block protected mutation and keep safe local work,supported draft,offline_reauth_blocked,reconnect before reauth,reauth_offline,"non-color offline status; no auto-submit",local draft plus session boundary,spec_ready
FLOW-AUTH-ONB-01,AUTH-07,/session-expired,learner,success,reauth accepted,"restored route/step and durable-work status",Resume intended route,Go home,"load canonical state and reconcile local draft safely",draft until server result,session_restored,continue or resolve draft conflict,reauth_completed,"announce restoration and focus primary action",host-only session plus canonical APIs,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,loading,open onboarding,"step-shaped skeleton; step indicator retained",Wait,Back to home,"load profile and revision without false defaults",none,onboarding_loading,retry on failure,onboarding_opened,"skeleton not announced as content; heading order",profile API,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,ready,new or restored profile,"bounded stepper; experience context; goal; situation; weekly minutes; status",Save and continue,Skip or back,"render canonical profile and explicit current step",safe fields,none,edit and save,onboarding_viewed,"labels; progress step semantics; keyboard order",profile API,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,validation_error,invalid or missing bounded field,"field-level message; preserved values",Correct and save,Back,"reject invalid write with no access/recommendation change",all bounded fields,profile_validation_failed,focus first invalid field,onboarding_validation_failed,"field error association",profile API,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,processing,save submitted,"saving indicator and disabled duplicate command",Wait,Cancel only if safe,"write with revision precondition and idempotency",bounded form,saving_profile,retry same revision intent,onboarding_save_started,"polite status announcement",profile API,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,retryable_error,network/save failure,"error plus preserved form",Retry save,Leave with draft,"no success claim; keep local draft private",all bounded fields,profile_save_failed,reconnect/retry,onboarding_save_failed,"alert linked to form and actions",profile API plus local draft,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,terminal_error,revision conflict or denied write,"conflict explanation and reload/merge choice",Reload canonical profile,Copy safe draft,"do not overwrite newer server revision",local draft,profile_revision_conflict,review then retry or support,onboarding_conflict,"announce conflict; focus resolution",profile revision API,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,offline_or_stale,network unavailable,"stale label; local draft status; save blocked",Reconnect,Continue local draft,"do not claim canonical save or recommendation",local bounded draft,offline_unsaved,reconnect and retry,onboarding_offline,"status not color-only",local draft plus profile API,spec_ready
FLOW-AUTH-ONB-01,ONB-01,/onboarding,verified learner,success,save or skip confirmed,"saved/completed status; next action",Go to home,Edit later,"render canonical profile status; no inferred access",none,onboarding_completed,return to home,onboarding_completed,"success announced; no auto-redirect",profile API,spec_ready
FLOW-SHELL-PLAN-01,HOME-01,/home,learner,loading,open home,"route-shaped skeleton; shell/nav retained",Wait,Use nav,"load `/v1/me` and learning projection; do not show zero",none,home_loading,retry or navigate,home_viewed,"skeleton landmarks and skip link",`/v1/me` plus learning projection,spec_ready
FLOW-SHELL-PLAN-01,HOME-01,/home,learner,ready,authorized projection available,"greeting; one dominant continue/start action; enrolled cards; plan entry; compact insight",Resume or start,Open plans/library,"show canonical next action; explicit free start only when eligible",none,none,follow owned route,home_ready,"landmark structure; action name describes destination",learning projection plus learner context,reference_ready
FLOW-SHELL-PLAN-01,HOME-01,/home,learner,empty,no enrollment or no current activity,"honest empty state; catalog link; no fake progress",Browse catalog,Open help,"show permitted next action; no access grant from rendering",none,no_enrollment,browse or explicit authenticated start when allowed,home_empty,"heading and empty explanation; no zero chart",enrollment plus published catalog,spec_ready
FLOW-SHELL-PLAN-01,HOME-01,/home,learner,retryable_error,projection request failure,"inline domain error while shell remains",Retry home,Use nav,"preserve shell and avoid fallback fixture",none,home_projection_unavailable,retry or support,home_retry,"error live region; retry reachable",learning projection API,spec_ready
FLOW-SHELL-PLAN-01,HOME-01,/home,learner,partial,core projection loaded but plan/insight secondary unavailable,"core next action plus missing-panel labels",Continue learning,Retry secondary panel,"keep canonical core; flag secondary unavailable",none,home_partial_data,continue or retry,home_partial,"missing is text-labeled, not zero",learning projection plus optional read model,spec_ready
FLOW-SHELL-PLAN-01,HOME-01,/home,learner,offline_or_stale,network unavailable with safe cache,"stale banner; allowlisted cards; mutation-disabled notice",Reconnect,Open cached learning,"render only safe cached display; block start/access mutation",none,home_stale_cache,reconnect; no auto-submit,home_offline,"offline status and stale timestamp text",allowlisted local cache,spec_ready
FLOW-SHELL-PLAN-01,HOME-01,/home,learner,unauthorized_or_expired,session absent or expired,"signed-out/expired state; no protected content",Reauthenticate,Go to public catalog,"route to AUTH-07 without revealing private projection",return intent,home_session_expired,reauth and restore,home_expired,"announce session state and focus action",host-only session,spec_ready
FLOW-SHELL-PLAN-01,PLAN-01,/home,learner,ready,open Today horizon with plan projection,"Today header; canonical plan items; status legend; no fabricated dates",Open selected item,Back home,"navigate only to owned/eligible item",none,none,return to home or learning,plan_today_opened,"group heading and status text",canonical plan/calendar projection,reference_ready
FLOW-SHELL-PLAN-01,PLAN-01,/home,learner,empty,no saved/eligible Today items,"no-plan explanation; catalog/library link",Choose learning item,Back home,"do not imply no progress or missed deadline",none,today_plan_empty,browse or return,plan_today_empty,"empty state announced",plan projection or authored intent,spec_ready
FLOW-SHELL-PLAN-01,PLAN-01,/home,learner,partial,items available but secondary metadata missing,"items with unavailable labels; core action intact",Open available item,Retry details,"do not fill duration/deadline fields from guess",none,today_plan_partial,continue or retry,plan_today_partial,"missing fields text-labeled",plan projection,spec_ready
FLOW-SHELL-PLAN-01,PLAN-01,/home,learner,retryable_error,plan request fails,"retry panel inside horizon",Retry plan,Back home,"retry same read; shell remains",none,today_plan_unavailable,retry or support,plan_today_retry,"error live region",plan projection API,spec_ready
FLOW-SHELL-PLAN-01,PLAN-01,/home,learner,offline_or_stale,plan cache available,"stale Today label; read-only items",Reconnect,Open cached item,"no plan mutation or reminder claim",none,today_plan_stale,reconnect,plan_today_offline,"stale text and non-color status",local plan cache,spec_ready
FLOW-SHELL-PLAN-01,PLAN-02,/home,learner,ready,open Week horizon with plan projection,"week grouping; canonical items; no coach/deadline assumptions",Open selected item,Back home,"navigate to owned/eligible item",none,none,return or continue,plan_week_opened,"group headings and keyboard sequence",canonical plan/calendar projection,reference_ready
FLOW-SHELL-PLAN-01,PLAN-02,/home,learner,empty,no saved/eligible Week items,"no-plan explanation; browse/library link",Choose learning item,Back home,"do not infer cadence or upcoming obligation",none,week_plan_empty,browse or return,plan_week_empty,"empty state announced",plan projection or authored intent,spec_ready
FLOW-SHELL-PLAN-01,PLAN-02,/home,learner,retryable_error,plan request fails,"retry panel",Retry plan,Back home,"keep shell and no false week data",none,week_plan_unavailable,retry or support,plan_week_retry,"error linked to retry",plan projection API,spec_ready
FLOW-SHELL-PLAN-01,PLAN-02,/home,learner,offline_or_stale,stale week cache,"stale label and read-only grouping",Reconnect,Open cached item,"no schedule/notification mutation",none,week_plan_stale,reconnect,plan_week_offline,"offline state announced",local plan cache,spec_ready
FLOW-SHELL-PLAN-01,PLAN-03,/home,learner,ready,open Month horizon,"month grouping; high-level canonical plan/progress only",Open selected item,Back home,"do not invent calendar commitments",none,none,return or continue,plan_month_opened,"headings and status text",canonical plan/calendar projection,reference_ready
FLOW-SHELL-PLAN-01,PLAN-03,/home,learner,empty,no saved Month intent,"honest no-plan state",Choose learning item,Back home,"no duration/deadline inference",none,month_plan_empty,browse or return,plan_month_empty,"empty message and action labels",plan projection or authored intent,spec_ready
FLOW-SHELL-PLAN-01,PLAN-03,/home,learner,retryable_error,plan request fails,"retry panel",Retry plan,Back home,"read retry only",none,month_plan_unavailable,retry or support,plan_month_retry,"error live region",plan projection API,spec_ready
FLOW-SHELL-PLAN-01,PLAN-03,/home,learner,offline_or_stale,stale month cache,"stale label; no writes",Reconnect,Open cached item,"no schedule authority claim",none,month_plan_stale,reconnect,plan_month_offline,"stale status text",local plan cache,spec_ready
FLOW-LEARNING-01,LEARN-01,/learning,learner,loading,open library,"card-shaped skeleton; shell retained",Wait,Use nav,"load owned enrollment/progress projection",none,learning_library_loading,retry,learning_library_viewed,"landmarks and skeleton semantics",enrollment plus learning projection,spec_ready
FLOW-LEARNING-01,LEARN-01,/learning,learner,ready,owned programs available,"in-progress/saved/completed groups; filters; cards",Resume course,Filter or browse catalog,"open only owned/eligible route",filter text,none,change filter or open course,learning_library_ready,"filter labels; card action names",enrollment plus learning projection,reference_ready
FLOW-LEARNING-01,LEARN-01,/learning,learner,empty,no enrollments,"empty explanation; Discover CTA",Discover programs,Go home,"no fabricated course cards or progress",search/filter,no_enrollments,browse public catalog,learning_library_empty,"empty heading and CTA",enrollment API,spec_ready
FLOW-LEARNING-01,LEARN-01,/learning,learner,retryable_error,projection request fails,"inline retry; shell retained",Retry library,Use nav,"retry read and preserve filter",filter text,learning_projection_unavailable,retry or support,learning_library_retry,"error linked to retry",learning projection API,spec_ready
FLOW-LEARNING-01,LEARN-01,/learning,learner,partial,some course cards unavailable,"available cards plus per-card unavailable label",Open available course,Retry missing cards,"do not substitute unauthorized or stale zero",filter text,learning_library_partial,continue or retry,learning_library_partial,"missing card announced",learning projection,spec_ready
FLOW-LEARNING-01,LEARN-01,/learning,learner,offline_or_stale,allowlisted library cache,"stale label; read-only course cards",Reconnect,Open cached course,"protected mutation blocked",filter text,learning_library_stale,reconnect,learning_library_offline,"stale/offline status non-color",local cache plus canonical on reconnect,spec_ready
FLOW-DISCOVER-01,DISC-01,/discover,visitor_or_learner,loading,open catalog,"catalog-card skeleton; search shell retained",Wait,Use nav,"load published catalog only",search/filter,catalog_loading,retry,discover_viewed,"search label and skeleton semantics",published catalog API,spec_ready
FLOW-DISCOVER-01,DISC-01,/discover,visitor_or_learner,ready,published results available,"search; category filters; honest cards; fit metadata",Open program preview,Clear filters,"open read-only preview",search/filter,none,change query or open preview,discover_ready,"search/results semantics and keyboard filters",published catalog API,reference_ready
FLOW-DISCOVER-01,DISC-01,/discover,visitor_or_learner,empty,authorized zero results,"no-results copy; clear filters; safe catalog link",Clear filters,Browse all,"do not imply no programs globally",search/filter,no_catalog_results,clear or retry query,discover_empty,"announce count/empty state",published catalog API,spec_ready
FLOW-DISCOVER-01,DISC-01,/discover,visitor_or_learner,retryable_error,catalog request fails,"retry panel; prior query retained",Retry catalog,Use nav,"no stale success claim",search/filter,catalog_unavailable,retry or support,discover_retry,"error live region",published catalog API,spec_ready
FLOW-DISCOVER-01,DISC-01,/discover,visitor_or_learner,partial,results page incomplete,"loaded cards plus partial-results explanation",Open available preview,Retry remaining,"do not fill missing cards",search/filter,catalog_partial,continue or retry,discover_partial,"partial status text",published catalog API,spec_ready
FLOW-DISCOVER-01,DISC-01,/discover,visitor_or_learner,offline_or_stale,cached public catalog available,"stale label; read-only public cards",Reconnect,Open cached preview,"no enrollment/access mutation",search/filter,catalog_stale,reconnect,discover_offline,"offline status announced",allowlisted public catalog cache,spec_ready
FLOW-DISCOVER-01,COURSE-01,/programs/{slug},visitor_or_learner,ready,published preview loaded,"program summary; module preview; sign-in/return CTA",Sign in to continue,Back to discover,"remain read-only; preserve return path",none,none,authenticate then return,program_preview_viewed,"heading hierarchy; CTA destination clear",published program version,spec_ready
FLOW-DISCOVER-01,COURSE-01,/programs/{slug},visitor_or_learner,loading,open preview,"header/section skeleton",Wait,Back,"load published preview",none,program_preview_loading,retry,program_preview_loading,"skeleton structure",published catalog API,spec_ready
FLOW-DISCOVER-01,COURSE-01,/programs/{slug},visitor_or_learner,empty,published preview has no displayable content,"honest unavailable preview; discover CTA",Back to discover,Sign in,"do not expose protected content or infer access",none,preview_empty,browse or support,program_preview_empty,"announce unavailable content",published catalog API,spec_ready
FLOW-DISCOVER-01,COURSE-01,/programs/{slug},visitor_or_learner,retryable_error,preview read fails,"retry panel",Retry preview,Back,"retry read only",none,preview_unavailable,retry or support,program_preview_retry,"retry accessible",published catalog API,spec_ready
FLOW-DISCOVER-01,COURSE-01,/programs/{slug},visitor_or_learner,permission_denied,protected detail requested without session,"safe sign-in message; no protected payload",Sign in,Back to discover,"preserve slug intent without granting access",none,preview_access_limited,sign in or return,program_preview_denied,"safe explanation announced",authorization boundary,spec_ready
FLOW-LEARNING-01,COURSE-02,/learn/{programSlug},enrolled learner,loading,open enrolled program,"course-shaped skeleton; shell retained",Wait,Back to learning,"load pinned version and learning projection",none,course_loading,retry,course_opened,"landmarks and loading semantics",pinned ProgramVersion plus learning projection,spec_ready
FLOW-LEARNING-01,COURSE-02,/learn/{programSlug},enrolled learner,ready,enrollment and projection authorized,"course header; progress; modules; support link",Open module,Back to learning,"show canonical lock/progress state",none,none,open eligible module,course_ready,"heading structure; lock text not color-only",learning projection,spec_ready
FLOW-LEARNING-01,COURSE-02,/learn/{programSlug},enrolled learner,locked,program access/prerequisite blocks detail,"safe lock reason and permitted action",Open prerequisite,Back to learning,"deny protected payload and explain next safe step",none,course_locked,complete prerequisite or support,course_locked_viewed,"lock icon paired with text",authorization plus progression projection,spec_ready
FLOW-LEARNING-01,COURSE-02,/learn/{programSlug},enrolled learner,retryable_error,projection read fails,"retry panel",Retry course,Back,"preserve route intent",none,course_projection_unavailable,retry or support,course_retry,"error live region",learning projection API,spec_ready
FLOW-LEARNING-01,COURSE-02,/learn/{programSlug},enrolled learner,partial,module metadata incomplete,"available modules plus partial label",Open available module,Retry missing,"do not invent titles/progress",none,course_partial,continue or retry,course_partial,"partial status text",learning projection,spec_ready
FLOW-LEARNING-01,COURSE-02,/learn/{programSlug},enrolled learner,offline_or_stale,cached course path available,"stale label; safe read-only path",Reconnect,Open cached module,"no protected mutation; canonical check on resume",none,course_stale,reconnect,course_offline,"stale status and focus",local cache plus canonical projection,spec_ready
FLOW-LEARNING-01,MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,loading,open module,"module-shaped skeleton; activity order placeholder",Wait,Back to course,"load configured activity prerequisites",none,module_loading,retry,module_opened,"skeleton and landmarks",learning projection,spec_ready
FLOW-LEARNING-01,MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,ready,module eligible,"intent; ordered activity rows; complete/current/locked labels",Open next activity,Back to course,"open configured activity only",none,none,choose eligible activity,module_ready,"row status icon plus text; keyboard order",module/activity projection,spec_ready
FLOW-LEARNING-01,MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,locked,prerequisite unmet,"module title; safe lock reason; prerequisite link",Open prerequisite,Back to course,"deny activity payload",none,module_locked,complete exact prerequisite,module_locked_viewed,"focus lock action; no hidden-content disclosure",progression authorization,spec_ready
FLOW-LEARNING-01,MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,empty,no configured activities,"honest no-activities state; support/catalog route",Back to course,Contact help,"do not claim completion",none,module_no_activities,support or return,module_empty,"empty state announced",published module version,spec_ready
FLOW-LEARNING-01,MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,retryable_error,module read fails,"retry panel",Retry module,Back,"retry read only",none,module_unavailable,retry or support,module_retry,"error live region",learning projection API,spec_ready
FLOW-LEARNING-01,MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,partial,some activity rows unavailable,"available rows plus missing-row label",Open available activity,Retry missing,"preserve known order; no invented row",none,module_partial,continue or retry,module_partial,"partial text labels",learning projection,spec_ready
FLOW-LEARNING-01,MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,offline_or_stale,cached module path available,"stale label; read-only activity rows",Reconnect,Review cached order,"canonical eligibility checked on open",none,module_stale,reconnect,module_offline,"stale text and non-color status",local cache plus projection,spec_ready
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,loading,open Watch activity,"activity/player skeleton; context retained",Wait,Back to module,"load activity version and media policy",none,activity_loading,retry,watch_opened,"skeleton; landmark and heading",activity version plus evidence service,spec_ready
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,ready,activity authorized,"player shell; captions/transcript status; evidence coverage text; next action",Play or resume,Back to module,"start/resume media session without completion claim",none,not_started_or_in_progress,retry player or return,watch_ready,"keyboard player controls; captions status",provider-neutral media port plus evidence policy,gap_blocked
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,processing,coverage evidence submitted,"evidence-pending status; continue watching; bounded refresh",Continue watching,Refresh status,"server compacts intervals and evaluates policy version",none,evidence_processing,leave and return or refresh,video_progress_evidence,"status announced; no mastery claim",server evidence/progress,gap_blocked
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,retryable_error,media/provider unavailable,"player error; saved coverage statement; retry",Retry media,Back to module,"preserve canonical coverage; no completion claim",none,provider_unavailable,retry boundedly or support,provider_failure_category,"error and alternate action reachable",media provider adapter,gap_blocked
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,terminal_error,media policy/assets unavailable,"honest capability gate; transcript/help if available",Back to module,Contact help,"do not fake media or evidence",none,media_not_approved,use support path,watch_terminal,"announce unavailable capability",media governance/provider gate,gap_blocked
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,offline_or_stale,network loss during watch,"saved coverage/stale label; player disabled or supported local content",Reconnect,Back to module,"block evidence mutation unless explicitly supported",safe local evidence,watch_offline,reconnect and reconcile,watch_offline,"offline state and controls labeled",local evidence plus canonical on reconnect,gap_blocked
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,locked,activity prerequisite unmet,"safe prerequisite reason; no player payload",Open prerequisite,Back to module,"deny media token and evidence actions",none,activity_locked,complete prerequisite,activity_locked_viewed,"lock text paired with icon",progression authorization,spec_ready
FLOW-ACTIVITY-01,ACT-01,/activity/{activityId},enrolled learner,success,server completion predicate true,"completed participation status; next configured activity",Continue to reflect,Review watch evidence,"record completion once; no mastery label",none,activity_completed,open next or module,activity_completed,"success text/icon; no auto-navigation",canonical activity evidence,spec_ready
FLOW-ACTIVITY-01,ACT-02,/activity/{activityId},enrolled learner,ready,reflection authorized/restored,"prompt; textarea; save status; previous answer if allowed",Start reflection,Back to module,"load self draft and policy",restored draft,restored_or_new,save or return with warning,reflection_opened,"textarea label; character/status association",draft/evidence service,spec_ready
FLOW-ACTIVITY-01,ACT-02,/activity/{activityId},enrolled learner,processing,save submitted,"saving status; duplicate command disabled",Wait,Cancel only if safe,"write with revision precondition",reflection draft,saving,retry same intent,reflection_save_started,"polite live status",draft service,spec_ready
FLOW-ACTIVITY-01,ACT-02,/activity/{activityId},enrolled learner,success,canonical draft accepted,"saved timestamp/revision; continue action",Continue,Keep editing,"render canonical saved state",none,reflection_saved,continue or edit,reflection_saved,"persistent non-color saved state",draft service,spec_ready
FLOW-ACTIVITY-01,ACT-02,/activity/{activityId},enrolled learner,retryable_error,save fails,"save-failed alert; preserved draft",Retry save,Copy text,"no canonical saved/completed claim",reflection draft,reflection_save_failed,reconnect/retry or copy,reflection_save_failed,"alert linked to textarea/actions",local draft plus draft API,spec_ready
FLOW-ACTIVITY-01,ACT-02,/activity/{activityId},enrolled learner,terminal_error,revision conflict or policy denial,"conflict/denied panel; draft preserved",Reload canonical,Copy draft,"never overwrite newer history",reflection draft,reflection_conflict,review and retry or support,reflection_conflict,"focus resolution choice",draft revision API,spec_ready
